state,symbol,nstate,nsymbol,move
qa,S,qa,S,1
qb,S,qN,S,-1
qc,S,qN,S,-1
qd,S,qN,S,-1
qe,S,qN,S,-1
qf,S,qN,S,-1
qg,S,qN,S,-1
qh,S,qN,S,-1
q00,S,q01,S,1
q01,S,qN,S,1
qz2a,S,qN,S,1
q0,S,q0,S,1
q1,S,qN,S,1
q2,S,qN,S,1
q3,S,q3,1,-1
q4,S,q01,S,1
qa,E,qa,qN,-1
qb,E,qN,E,-1
qc,E,qN,E,-1
qd,E,qY,E,-1
qe,E,qN,E,-1
qf,E,qN,E,-1
qg,E,qN,E,-1
qh,E,qY,E,-1
q00,E,qN,E,-1
q01,E,qz2a,E,-1
qz2a,E,qz2a,E,-1
q0,E,q1,E,-1
q1,E,qN,E,1
q2,E,qN,E,1
q3,E,qN,E,1
q4,E,qN,E,1
qa,0,qe,0,1
qb,0,qN,b,-1
qc,0,qN,b,-1
qd,0,qd,0,1
qe,0,qe,0,1
qf,0,qN,b,-1
qg,0,qN,b,-1
qh,0,q00,0,-1
q00,0,q00,0,-1
q01,0,q01,0,1
qz2a,0,qz2a,0,-1
q0,0,q0,0,1
q1,0,q1,1,-1
q2,0,q2,0,-1
q3,0,q4,1,-1
q4,0,q4,0,-1
qa,1,qe,1,1
qb,1,qN,b,-1
qc,1,qN,b,-1
qd,1,qd,1,1
qe,1,qe,1,1
qf,1,qN,b,-1
qg,1,qN,b,-1
qh,1,q00,1,-1
q00,1,q00,1,-1
q01,1,q01,1,1
qz2a,1,q0,1,1
q0,1,q0,1,1
q1,1,q2,0,-1
q2,1,q2,1,-1
q3,1,q3,0,-1
q4,1,q4,1,-1
qa,a,qb,a,1
qb,a,qN,b,-1
qc,a,qN,b,-1
qd,a,qN,b,-1
qe,a,qf,a,1
qf,a,qN,b,-1
qg,a,qN,b,-1
qh,a,qN,b,-1
q00,a,q00,a,-1
q01,a,q01,a,1
qz2a,a,qN,a,-1
q0,a,q0,a,1
q1,a,qN,a,-1
q2,a,q3,a,-1
q3,a,qN,a,-1
q4,a,qN,a,-1
qa,d,qN,a,1
qb,d,qc,d,1
qc,d,qd,d,1
qd,d,qN,d,1
qe,d,qN,d,1
qf,d,qg,d,1
qg,d,qh,d,1
qh,d,qN,d,1
q00,d,q00,d,-1
q01,d,q01,d,1
qz2a,d,qY,d,-1
q0,d,q0,d,1
q1,d,qN,d,-1
q2,d,q2,d,-1
q3,d,qN,d,-1
q4,d,qN,d,-1
qa,b,qN,a,-1
qb,b,qN,b,-1
qc,b,qN,b,-1
qd,b,qY,b,-1
qe,b,qN,b,-1
qf,b,qN,b,-1
qg,b,qN,b,-1
qh,b,qN,b,-1
q00,b,q00,b,-1
q01,b,qz2a,b,-1
qz2a,b,qN,b,-1
q0,b,q1,b,-1
q1,b,qN,b,-1
q2,b,qN,b,-1
q3,b,q4,S,1
q4,b,qN,b,-1
