state,symbol,nstate,nsymbol,move
qa,S,qa,S,1
qd,S,qN,S,-1
qe,S,qN,S,-1
qh,S,qN,S,-1
q0r,S,q0r,r,-1
q0m,S,qN,S,-1
q0c,S,qN,S,-1
q0cx,S,q0cx,0,-1
q0cy,S,q0cy,1,-1
q0b,S,qN,S,-1
q0cf,S,qN,S,-1
q1t,S,q1t,t,-1
q1m,S,qN,S,-1
q1c,S,qN,S,-1
q1cx,S,q1cx,0,-1
q1cy,S,q1cy,1,-1
q1b,S,qN,S,-1
q1cf,S,qN,S,-1
q03,S,qN,S,1
qz3a,S,qN,S,1
q03b,S,qN,S,-1
q03c,S,qN,S,-1
q03d,S,qN,S,-1
refill,S,qN,S,-1
q04r,S,qN,S,-1
q04x,S,qN,S,-1
q04xr,S,qN,S,-1
q04y,S,qN,S,-1
q04yr,S,qN,S,-1
q04b,S,qN,S,-1
q04c,S,qN,S,-1
q04d,S,qN,S,-1
q04e,S,qN,S,-1
q04f,S,qN,S,-1
q04g,S,qN,S,-1
q02,S,qN,S,1
qz2a,S,qN,S,1
q0,S,q0,S,1
q1,S,qN,S,1
q2,S,qN,S,1
q3,S,q3,1,-1
q4,S,q02,S,1
qa,E,qa,qN,-1
qd,E,qY,E,-1
qe,E,qN,E,-1
qh,E,qY,E,-1
q0r,E,qN,E,-1
q0m,E,qN,E,-1
q0c,E,qN,E,-1
q0cx,E,qN,E,-1
q0cy,E,qN,E,-1
q0b,E,qN,E,-1
q0cf,E,qN,E,-1
q1t,E,qN,E,-1
q1m,E,qN,E,-1
q1c,E,qN,E,-1
q1cx,E,qN,E,-1
q1cy,E,qN,E,-1
q1b,E,qN,E,-1
q1cf,E,qN,E,-1
q03,E,qz3a,E,-1
qz3a,E,qz3a,E,-1
q03b,E,q03c,E,-1
q03c,E,qN,E,-1
q03d,E,qN,E,-1
refill,E,qN,E,-1
q04r,E,qN,E,-1
q04x,E,qN,E,-1
q04xr,E,qN,E,-1
q04y,E,qN,E,-1
q04yr,E,qN,E,-1
q04b,E,qN,E,-1
q04c,E,qN,E,-1
q04d,E,qN,E,-1
q04e,E,qN,E,-1
q04f,E,qN,E,-1
q04g,E,qN,E,-1
q02,E,qz2a,E,-1
qz2a,E,qz2a,E,-1
q0,E,q1,E,-1
q1,E,qN,E,1
q2,E,qN,E,1
q3,E,qN,E,1
q4,E,qN,E,1
qa,0,qe,0,1
qd,0,qd,0,1
qe,0,qe,0,1
qh,0,q0r,0,-1
q0r,0,q0r,0,-1
q0m,0,q0m,0,1
q0c,0,q0cx,x,-1
q0cx,0,q0cx,0,-1
q0cy,0,q0cy,0,-1
q0b,0,q0b,0,1
q0cf,0,qN,0,-1
q1t,0,q1t,0,-1
q1m,0,q1m,0,1
q1c,0,q1cx,x,-1
q1cx,0,q1cx,0,-1
q1cy,0,q1cy,0,-1
q1b,0,q1b,0,1
q1cf,0,qN,0,-1
q03,0,q03,0,1
qz3a,0,qz3a,0,-1
q03b,0,q03b,0,1
q03c,0,q03c,1,-1
q03d,0,q03d,0,-1
refill,0,qN,0,-1
q04r,0,q04x,x,-1
q04x,0,q04x,0,-1
q04xr,0,q04b,x,1
q04y,0,q04y,0,-1
q04yr,0,q04b,y,1
q04b,0,qN,0,-1
q04c,0,q04e,0,1
q04d,0,qN,0,-1
q04e,0,q04e,0,1
q04f,0,qN,0,-1
q04g,0,q04g,0,-1
