[[962, 856], [963, 853]]
[[139, 324], [142, 326]]
[[446, 719], [447, 714]]
[[964, 860], [962, 856]]
[[671, 549], [666, 550]]
[[964, 860], [963, 853]]
[[431, 334], [426, 337]]
[[236, 129], [231, 132]]
[[474, 176], [469, 179]]
[[127, 830], [120, 829]]
[[155, 527], [155, 536]]
[[37, 640], [37, 649]]
[[113, 109], [107, 106]]
[[646, 435], [643, 429]]
[[377, 300], [370, 302]]
[[742, 264], [748, 260]]
[[339, 589], [346, 586]]
[[800, 730], [805, 725]]
[[942, 935], [948, 930]]
[[503, 288], [506, 280]]
[[548, 653], [544, 646]]
[[481, 813], [489, 817]]
[[89, 207], [94, 214]]
[[120, 680], [125, 673]]
[[444, 181], [441, 190]]
[[425, 150], [431, 156]]
[[247, 892], [243, 883]]
[[190, 919], [184, 912]]
[[5, 805], [4, 817]]
[[505, 349], [498, 355]]
[[976, 563], [978, 574]]
[[316, 366], [313, 377]]
[[705, 800], [698, 793]]
[[97, 201], [89, 207]]
[[558, 845], [552, 837]]
[[687, 318], [696, 323]]
[[412, 336], [426, 337]]
[[646, 417], [643, 429]]
[[387, 295], [377, 300]]
[[452, 311], [446, 302]]
[[97, 201], [94, 214]]
[[260, 636], [259, 621]]
[[933, 270], [923, 264]]
[[286, 757], [274, 762]]
[[344, 875], [348, 888]]
[[631, 831], [640, 823]]
[[550, 822], [552, 837]]
[[103, 181], [114, 187]]
[[552, 837], [564, 832]]
[[219, 481], [226, 470]]
[[646, 417], [646, 435]]
[[59, 949], [51, 939]]
[[82, 513], [98, 511]]
[[334, 784], [324, 776]]
[[998, 260], [999, 242]]
[[503, 518], [496, 530]]
[[146, 648], [156, 639]]
[[406, 538], [398, 527]]
[[905, 738], [917, 731]]
[[558, 845], [564, 832]]
[[31, 939], [51, 939]]
[[177, 546], [190, 539]]
[[912, 633], [929, 636]]
[[767, 551], [771, 567]]
[[631, 831], [629, 813]]
[[151, 769], [155, 785]]
[[412, 336], [431, 334]]
[[559, 44], [560, 24]]
[[727, 383], [730, 365]]
[[629, 813], [640, 823]]
[[160, 263], [151, 250]]
[[382, 960], [404, 960]]
[[742, 355], [730, 365]]
[[53, 778], [61, 792]]
[[967, 913], [958, 899]]
[[498, 378], [498, 355]]
[[103, 133], [93, 146]]
[[800, 730], [785, 722]]
[[85, 493], [82, 513]]
[[785, 722], [805, 725]]
[[489, 817], [502, 827]]
[[640, 823], [654, 814]]
[[267, 896], [247, 892]]
[[273, 739], [274, 762]]
[[387, 295], [370, 302]]
[[798, 914], [786, 902]]
[[577, 31], [560, 24]]
[[550, 822], [564, 832]]
[[723, 755], [701, 753]]
[[425, 314], [426, 337]]
[[348, 37], [326, 35]]
[[209, 106], [187, 109]]
[[955, 23], [943, 36]]
[[387, 295], [383, 274]]
[[525, 586], [541, 577]]
[[16, 74], [26, 89]]
[[324, 751], [324, 776]]
[[13, 394], [15, 417]]
[[413, 267], [425, 254]]
[[160, 263], [173, 276]]
